LATITUD,LONGITUD,ESTABLECIMIENTO,AIRELIBRE,BARRIO,TIPO,CANTIDAD
-34.64538521995846,-58.432801945762,Centro Cultural Del Bajo Flores,NO,Nueva pompeya,Centro Cultural,2
-34.6454471,-58.4349628,Centro Cultural Del Bajo Flores,NO,,Centro Cultural,1
-34.60116315357645,-58.513342005124635,Centro Cultural Devoto,NO,Villa devoto,Centro Cultural,11
-34.5528078,-58.4891251,Centro Cultural Discepolín,NO,,Centro Cultural,1
-34.612839908973015,-58.436311589563005,Centro Cultural El Eternauta,NO,Caballito,Centro Cultural,7
-34.623979483694555,-58.505318981185034,Centro Cultural El Taller,NO,Monte castro,Centro Cultural,7
-34.659615,-58.4312131,Centro Cultural Eladia Blázquez,NO,,Centro Cultural,1
-34.65068038142836,-58.52571965558646,Centro Cultural Elias Castelnuovo,NO,Liniers,Centro Cultural,5
-34.6216921524186,-58.37029615669824,Centro Cultural Fortunato Lacamera,NO,San telmo,Centro Cultural,7
-34.654741686523835,-58.420408148068205,Centro Cultural Homero Manzi,NO,Nueva pompeya,Centro Cultural,5
-34.6787844,-58.4954584,Centro Cultural Juan Carlos Castagnino,NO,,Centro Cultural,4
-34.55106498099947,-58.46088183510188,Centro Cultural Julio Cortazar,NO,Nuñez,Centro Cultural,6
-34.6378452,-58.484499,Centro Cultural La Casita De La Selva,NO,,Centro Cultural,2
-34.6620146,-58.3996603,Centro Cultural La Loma,NO,,Centro Cultural,1
-34.6160585,-58.4690927,Centro Cultural La Paternal,NO,,Centro Cultural,1
-34.653556018219255,-58.385349810200196,Centro Cultural La Usina,NO,Barracas,Centro Cultural,3
-34.555560852557875,-58.47815808308784,Centro Cultural Lino E. Spilimbergo,NO,Saavedra,Centro Cultural,7
-34.60438785907188,-58.43203533865715,Centro Cultural Lola Mora,NO,Caballito,Centro Cultural,22
-34.652395009481936,-58.508513157453436,Centro Cultural Macedonio Fernandez,NO,Mataderos,Centro Cultural,4
-34.61132,-58.37252,Centro Cultural Mariano Moreno,SI,,Centro Cultural,2
-34.6239517,-58.4206076,Centro Cultural Nicolás Olivari,NO,,Centro Cultural,7
-34.6239517,-58.4206076,Centro Cultural Nicolás Olivari,SI,,Centro Cultural,3
-34.6010133,-58.4412393,Centro Cultural Osvaldo Pugliese,NO,,Centro Cultural,1
-34.60108379413317,-58.43904225284488,Centro Cultural Osvaldo Pugliese,NO,Villa crespo,Centro Cultural,2
-34.5864938304228,-58.39157761250419,Centro Cultural Recoleta,NO,Recoleta,Centro Cultural,437
-34.5864938304228,-58.39157761250419,Centro Cultural Recoleta,NO ESPECIFICA,Recoleta,Centro Cultural,45
-34.5864938304228,-58.39157761250419,Centro Cultural Recoleta,SI,Recoleta,Centro Cultural,12
-34.60458806264701,-58.39586447807118,Centro Cultural Ricardo Rojas,NO,Balvanera,Centro Cultural,3
-34.624830904220694,-58.46694870917976,Centro Cultural Roberto Arlt,NO,Flores,Centro Cultural,8
-34.57937773831784,-58.469074554053634,Centro Cultural Roberto Santoro,NO,Villa ortuzar,Centro Cultural,8
-34.68829785019531,-58.463126457797536,Centro Cultural Saladiyo,NO,Villa lugano,Centro Cultural,3
-34.605367766748735,-58.388585025559074,Centro Cultural San Martin,NO,San nicolas,Centro Cultural,1239
-34.605367766748735,-58.388585025559074,Centro Cultural San Martin,NO ESPECIFICA,San nicolas,Centro Cultural,104
-34.605367766748735,-58.388585025559074,Centro Cultural San Martin,SI,San nicolas,Centro Cultural,1
-34.626871046221346,-58.44721760958304,Centro Cultural Sebastian Piana,NO,Caballito,Centro Cultural,23
-34.59185320179216,-58.417255733601756,Centro Cultural Tato Bores,NO,Palermo,Centro Cultural,4
-34.62845298387908,-58.52280752695565,Centro Cultural Versalles,NO,Versalles,Centro Cultural,18
-34.584182,-58.37985,Centro Warmis,NO,,Centro Cultural,3
-34.584182,-58.37985,Centro Warmis,NO ESPECIFICA,,Centro Cultural,1
-34.6590382,-58.4768703,Cildañez,NO,,,1
-34.60662105751036,-58.41046426348181,Ciudad Cultural Konex,NO,Balvanera,Centro Cultural,2
-34.60662105751036,-58.41046426348181,Ciudad Cultural Konex,NO ESPECIFICA,Balvanera,Centro Cultural,1
-34.6804149,-58.4892957,Ciudad Oculta,NO,,Barrio,1
-34.6696971,-58.5027236,Club Cárdenas,NO ESPECIFICA,,Club/Fundación,1
-34.5973516,-58.4284217,Club Cultural Matienzo,NO,,Centro Cultural,1
